epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8297,1.60253,4.66222,1.14088,0.0007,0.31052,0.08893,0.05094,0.63695,56.7549,0.46479,0.0002375,0.0002375,0.0002375
2,20.7256,1.63671,3.58757,1.14129,0.00141,0.35863,0.14303,0.07494,0.69176,56.55,0.475,0.000477848,0.000477848,0.000477848
3,27.6807,1.64715,3.33823,1.17221,0.00172,0.3998,0.24009,0.08705,0.7664,55.4138,0.51699,0.000708295,0.000708295,0.000708295
4,34.8157,1.60487,2.74378,1.15812,0.82632,0.1726,0.62402,0.32255,0.77209,53.7499,0.54269,0.000928842,0.000928842,0.000928842
5,41.7117,1.54831,2.5492,1.13593,0.87691,0.36582,0.65405,0.33865,0.79593,50.5599,0.57962,0.00113949,0.00113949,0.00113949
6,48.5714,1.56385,2.33658,1.12806,0.61009,0.56302,0.69533,0.39581,0.73019,51.3892,0.54987,0.00112625,0.00112625,0.00112625
7,55.4537,1.45175,2.05493,1.07837,0.68177,0.76622,0.81437,0.41892,0.82436,42.5196,0.59956,0.0011015,0.0011015,0.0011015
8,62.4793,1.38859,1.9604,1.08551,0.70083,0.72706,0.752,0.44874,0.73482,36.1127,0.55708,0.00107675,0.00107675,0.00107675
9,69.3684,1.37443,1.70387,1.09552,0.68978,0.80899,0.77895,0.4739,0.70101,34.1388,0.53323,0.001052,0.001052,0.001052
10,76.2388,1.35727,1.65519,1.06393,0.73356,0.82367,0.85787,0.49065,0.72373,31.8412,0.54187,0.00102725,0.00102725,0.00102725
11,83.8544,1.39638,1.68559,1.10865,0.78185,0.89655,0.89081,0.53331,0.71963,29.8831,0.54827,0.0010025,0.0010025,0.0010025
12,90.7164,1.38364,1.60097,1.06146,0.73674,0.85546,0.84298,0.51444,0.64618,29.0374,0.53042,0.00097775,0.00097775,0.00097775
13,97.6103,1.33525,1.40199,1.04659,0.78516,0.82608,0.86487,0.54148,0.66918,25.0552,0.53766,0.000953,0.000953,0.000953
14,104.818,1.30018,1.44043,1.04818,0.78459,0.89139,0.8696,0.51688,0.72826,23.1182,0.56556,0.00092825,0.00092825,0.00092825
15,111.676,1.4104,1.44549,1.08146,0.74938,0.81531,0.80443,0.48716,0.68061,21.5022,0.54842,0.0009035,0.0009035,0.0009035
16,118.608,1.28345,1.31568,1.05027,0.75957,0.82856,0.84526,0.51546,0.67283,23.6347,0.53931,0.00087875,0.00087875,0.00087875
17,125.483,1.25379,1.26004,1.02925,0.71627,0.92906,0.86936,0.5449,0.64753,24.0487,0.54256,0.000854,0.000854,0.000854
18,132.65,1.2601,1.2225,1.03474,0.8093,0.88481,0.8773,0.54603,0.6975,17.8876,0.547,0.00082925,0.00082925,0.00082925
19,139.548,1.2274,1.17663,1.02678,0.81726,0.90759,0.88397,0.56047,0.65988,16.6453,0.52773,0.0008045,0.0008045,0.0008045
20,146.417,1.23027,1.15272,1.01764,0.80289,0.94475,0.87969,0.57292,0.61636,17.4408,0.52317,0.00077975,0.00077975,0.00077975
21,153.239,1.26227,1.15482,1.01029,0.82718,0.93392,0.88963,0.56715,0.63987,16.3079,0.51659,0.000755,0.000755,0.000755
22,160.127,1.22676,1.07622,1.01095,0.84699,0.92718,0.86792,0.54476,0.66546,17.2392,0.53321,0.00073025,0.00073025,0.00073025
23,167.028,1.18781,1.10813,1.00411,0.87839,0.93205,0.91605,0.58539,0.64913,15.022,0.51763,0.0007055,0.0007055,0.0007055
24,173.886,1.12577,1.04644,0.98518,0.84943,0.91331,0.90701,0.60323,0.66513,13.9991,0.53803,0.00068075,0.00068075,0.00068075
25,180.766,1.20078,1.09418,0.99854,0.86107,0.90433,0.88572,0.54427,0.70377,14.0024,0.5372,0.000656,0.000656,0.000656
26,187.685,1.15484,0.97141,0.97722,0.88974,0.90889,0.90072,0.55924,0.67603,12.5852,0.53711,0.00063125,0.00063125,0.00063125
27,194.559,1.14997,0.93954,0.99972,0.88631,0.883,0.89401,0.56504,0.67076,12.1313,0.54319,0.0006065,0.0006065,0.0006065
28,201.526,1.16476,0.91545,0.97814,0.86448,0.95728,0.90915,0.60036,0.65031,12.5816,0.54052,0.00058175,0.00058175,0.00058175
29,208.452,1.10117,0.94102,0.98319,0.89875,0.94887,0.92372,0.59261,0.66986,12.2133,0.52882,0.000557,0.000557,0.000557
30,215.352,1.13153,0.91936,0.97026,0.88697,0.92024,0.92168,0.60842,0.64221,11.7507,0.52095,0.00053225,0.00053225,0.00053225
31,222.309,1.13072,0.89331,0.97516,0.89153,0.95033,0.94109,0.65103,0.6026,11.3988,0.50476,0.0005075,0.0005075,0.0005075
32,229.228,1.07716,0.87492,0.95375,0.89777,0.91799,0.95182,0.64142,0.62524,11.6019,0.50081,0.00048275,0.00048275,0.00048275
33,236.16,1.0667,0.83385,0.95705,0.88469,0.90815,0.92547,0.63562,0.60257,11.2605,0.49565,0.000458,0.000458,0.000458
34,243.029,1.08947,0.84504,0.9592,0.88244,0.9028,0.92489,0.60601,0.64049,10.7908,0.51431,0.00043325,0.00043325,0.00043325
35,250.004,1.02604,0.82231,0.95104,0.88408,0.92322,0.94056,0.62964,0.62832,10.3071,0.51635,0.0004085,0.0004085,0.0004085
36,256.915,1.02846,0.78814,0.93519,0.90099,0.94398,0.95827,0.61325,0.68143,9.85943,0.53015,0.00038375,0.00038375,0.00038375
37,263.821,1.06166,0.80787,0.93198,0.89287,0.95601,0.95328,0.64264,0.60552,9.71559,0.49787,0.000359,0.000359,0.000359
38,270.711,1.02935,0.77857,0.93806,0.85903,0.96214,0.93099,0.61133,0.67158,9.17088,0.52842,0.00033425,0.00033425,0.00033425
39,277.601,1.00856,0.77544,0.949,0.85607,0.94656,0.92301,0.61905,0.61477,8.98476,0.51004,0.0003095,0.0003095,0.0003095
