epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.508,1.51818,2.97345,1.15878,0.51809,0.4916,0.5275,0.3048,1.7059,2.63397,1.44592,0.000409946,0.000409946,0.000409946
2,34.0157,1.63783,1.62782,1.25645,0.19806,0.48753,0.19636,0.11056,1.68899,678.592,2.35439,0.000822521,0.000822521,0.000822521
3,46.0722,1.70099,1.50511,1.31292,0.15802,0.41831,0.1443,0.05969,nan,nan,nan,0.00123097,0.00123097,0.00123097
4,58.1236,1.72046,1.47946,1.35599,0.65413,0.02952,0.05956,0.03512,nan,nan,nan,0.00123144,0.00123144,0.00123144
5,70.0693,1.67195,1.35677,1.31151,0.51023,0.50899,0.50697,0.25672,1.76557,2.62708,1.67964,0.00122525,0.00122525,0.00122525
6,81.4583,1.66757,1.34273,1.32817,0.60972,0.52912,0.56513,0.29727,1.6018,2.37467,1.45078,0.00121906,0.00121906,0.00121906
7,92.6917,1.58333,1.18273,1.28435,0.5602,0.61035,0.60723,0.33076,1.57232,3.13315,1.47725,0.00121287,0.00121287,0.00121287
8,103.915,1.54762,1.16282,1.25232,0.68742,0.62629,0.63123,0.34705,1.50975,1.42831,1.35992,0.00120669,0.00120669,0.00120669
9,115.314,1.5518,1.11451,1.22679,0.59109,0.52517,0.56142,0.32785,1.7264,2.92611,1.62507,0.0012005,0.0012005,0.0012005
10,126.639,1.56688,1.10946,1.24519,0.80672,0.75141,0.80131,0.45765,1.51414,1.38352,1.43363,0.00119431,0.00119431,0.00119431
11,138.04,1.50574,1.06607,1.23688,0.75403,0.4812,0.55857,0.32868,1.60438,3.14634,1.51532,0.00118812,0.00118812,0.00118812
12,149.13,1.52813,1.02212,1.20743,0.71557,0.67055,0.73763,0.42519,1.46265,2.10236,1.40391,0.00118194,0.00118194,0.00118194
13,160.451,1.44412,0.97615,1.20471,0.72313,0.50476,0.60342,0.34153,1.65807,1.78508,1.56793,0.00117575,0.00117575,0.00117575
14,171.71,1.41797,0.93387,1.19214,0.79161,0.60963,0.69752,0.39935,1.65619,1.47174,1.5381,0.00116956,0.00116956,0.00116956
15,182.997,1.35109,0.90582,1.14124,0.7076,0.70576,0.76683,0.43659,1.53194,1.37219,1.4504,0.00116337,0.00116337,0.00116337
16,194.223,1.33162,0.86538,1.13532,0.85552,0.75382,0.84375,0.49038,1.51299,1.12696,1.4311,0.00115719,0.00115719,0.00115719
17,205.507,1.32776,0.88392,1.13336,0.76745,0.72372,0.79844,0.46664,1.49765,1.17012,1.45483,0.001151,0.001151,0.001151
18,216.557,1.31867,0.87089,1.13326,0.82352,0.79049,0.81983,0.5103,1.39265,1.22841,1.48258,0.00114481,0.00114481,0.00114481
19,227.794,1.31989,0.85871,1.11651,0.86836,0.7869,0.86229,0.54265,1.2487,0.99149,1.28835,0.00113863,0.00113863,0.00113863
20,239.077,1.29907,0.83346,1.11957,0.8731,0.79202,0.86432,0.54945,1.28392,0.94246,1.30464,0.00113244,0.00113244,0.00113244
21,250.455,1.24192,0.82049,1.10779,0.84536,0.79238,0.86195,0.55228,1.32773,1.20116,1.32321,0.00112625,0.00112625,0.00112625
22,262.132,1.24388,0.813,1.11621,0.81424,0.83183,0.8398,0.51281,1.30056,1.12222,1.33697,0.00112006,0.00112006,0.00112006
23,273.414,1.25468,0.78886,1.11679,0.81701,0.84852,0.88173,0.57655,1.25899,0.90271,1.3581,0.00111388,0.00111388,0.00111388
24,284.82,1.2252,0.7572,1.08302,0.7342,0.85839,0.83892,0.5236,1.30479,0.90881,1.3397,0.00110769,0.00110769,0.00110769
25,296.231,1.20847,0.74447,1.09486,0.72526,0.72473,0.78008,0.49687,1.26381,1.06969,1.31248,0.0011015,0.0011015,0.0011015
26,307.684,1.23837,0.76719,1.10197,0.81627,0.8629,0.85715,0.50821,1.43583,0.90713,1.40728,0.00109531,0.00109531,0.00109531
27,319.078,1.20162,0.74469,1.0616,0.89908,0.85069,0.90926,0.57199,1.24767,0.84799,1.27184,0.00108913,0.00108913,0.00108913
28,330.406,1.21627,0.73433,1.0712,0.8089,0.84098,0.864,0.53777,1.30606,0.99065,1.32471,0.00108294,0.00108294,0.00108294
29,341.665,1.18935,0.76605,1.09606,0.84588,0.9174,0.9174,0.55843,1.29766,0.90604,1.29891,0.00107675,0.00107675,0.00107675
30,352.968,1.20541,0.72256,1.09984,0.88568,0.88011,0.90336,0.56357,1.28169,0.79353,1.31975,0.00107056,0.00107056,0.00107056
31,364.236,1.16634,0.69802,1.0674,0.92096,0.83892,0.92503,0.58714,1.24964,0.7937,1.31798,0.00106437,0.00106437,0.00106437
32,375.591,1.18658,0.72551,1.06735,0.90071,0.84112,0.89874,0.58784,1.24292,0.79117,1.32341,0.00105819,0.00105819,0.00105819
33,387.157,1.16542,0.72521,1.06457,0.81744,0.91408,0.87684,0.56601,1.24664,0.83731,1.3095,0.001052,0.001052,0.001052
34,398.729,1.14773,0.69467,1.0688,0.89177,0.83671,0.87775,0.55607,1.31643,0.91379,1.2676,0.00104581,0.00104581,0.00104581
35,409.968,1.1131,0.67599,1.03191,0.82926,0.83669,0.88562,0.5751,1.24346,0.79611,1.24324,0.00103962,0.00103962,0.00103962
36,421.399,1.11697,0.67545,1.05084,0.85607,0.86407,0.8672,0.54958,1.23283,0.85083,1.24149,0.00103344,0.00103344,0.00103344
37,432.63,1.11312,0.65686,1.03842,0.87049,0.83307,0.90412,0.59172,1.21632,0.88309,1.27459,0.00102725,0.00102725,0.00102725
38,444.322,1.091,0.68151,1.04268,0.91253,0.85008,0.90155,0.57274,1.3026,1.32533,1.33035,0.00102106,0.00102106,0.00102106
39,455.519,1.11793,0.67913,1.03439,0.89678,0.91272,0.94179,0.60729,1.24363,0.82542,1.33547,0.00101488,0.00101488,0.00101488
40,467.08,1.10177,0.63209,1.03598,0.90013,0.86034,0.89982,0.59409,1.27458,0.83469,1.31684,0.00100869,0.00100869,0.00100869
41,478.753,1.05701,0.61803,1.03163,0.85232,0.90589,0.91658,0.61974,1.27944,0.78922,1.27415,0.0010025,0.0010025,0.0010025
42,490.301,1.08946,0.62278,1.01626,0.837,0.85864,0.87305,0.56549,1.2408,1.06489,1.26727,0.000996313,0.000996313,0.000996313
43,501.839,1.05481,0.62031,1.02601,0.88807,0.87728,0.90103,0.59752,1.21966,0.79814,1.26084,0.000990125,0.000990125,0.000990125
44,513.488,1.1154,0.63898,1.03225,0.9416,0.82096,0.89505,0.57427,1.23524,0.78665,1.31186,0.000983938,0.000983938,0.000983938
45,524.883,1.0656,0.62222,1.03281,0.7829,0.88647,0.89565,0.58295,1.2687,0.87483,1.30595,0.00097775,0.00097775,0.00097775
46,536.172,1.06,0.61629,1.03094,0.84964,0.92006,0.92815,0.61896,1.22632,0.75476,1.30951,0.000971562,0.000971562,0.000971562
47,547.598,1.0818,0.60161,1.02086,0.9388,0.91059,0.94034,0.6185,1.19638,0.78851,1.27206,0.000965375,0.000965375,0.000965375
48,558.921,1.0413,0.60018,1.01797,0.91093,0.91057,0.93413,0.61645,1.27787,0.81512,1.26409,0.000959187,0.000959187,0.000959187
49,570.266,1.01142,0.60811,1.02474,0.92038,0.89651,0.94029,0.62249,1.19493,0.74563,1.26396,0.000953,0.000953,0.000953
50,581.86,1.03156,0.5967,1.01481,0.88427,0.89904,0.90568,0.58152,1.25314,0.78294,1.2797,0.000946812,0.000946812,0.000946812
51,593.403,1.02662,0.60666,1.00521,0.89476,0.85435,0.89264,0.56741,1.28458,0.80112,1.29361,0.000940625,0.000940625,0.000940625
52,604.763,1.00775,0.57426,0.98685,0.90348,0.89807,0.92342,0.62051,1.14354,0.87087,1.24767,0.000934438,0.000934438,0.000934438
53,615.989,0.98431,0.5852,1.02331,0.92356,0.9187,0.93777,0.62985,1.22022,0.65934,1.25616,0.00092825,0.00092825,0.00092825
54,627.394,1.03357,0.58019,1.01724,0.88937,0.87017,0.91364,0.59691,1.28253,0.98607,1.2882,0.000922063,0.000922063,0.000922063
55,638.546,1.01392,0.5716,1.00025,0.9509,0.8843,0.93157,0.61474,1.22664,0.79558,1.26105,0.000915875,0.000915875,0.000915875
56,649.679,0.9881,0.57893,1.01079,0.90531,0.89062,0.91284,0.62057,1.19911,0.7215,1.26226,0.000909688,0.000909688,0.000909688
57,660.789,1.03926,0.58311,1.01934,0.87991,0.90556,0.9359,0.62746,1.18535,0.79772,1.25298,0.0009035,0.0009035,0.0009035
58,672.09,0.97945,0.54967,0.99234,0.87844,0.89668,0.93407,0.62291,1.13136,0.67018,1.20561,0.000897313,0.000897313,0.000897313
59,683.161,0.97677,0.5482,0.97899,0.89053,0.91818,0.92719,0.62662,1.1161,0.71998,1.26347,0.000891125,0.000891125,0.000891125
60,694.202,0.97554,0.53871,0.9816,0.90386,0.93053,0.93709,0.64554,1.12284,0.6814,1.19443,0.000884938,0.000884938,0.000884938
61,705.78,0.9756,0.5469,0.98909,0.88322,0.9009,0.9324,0.63224,1.16648,0.73619,1.24798,0.00087875,0.00087875,0.00087875
62,717.354,0.95854,0.5464,0.9807,0.8941,0.95055,0.94882,0.66321,1.08152,0.68427,1.19387,0.000872563,0.000872563,0.000872563
63,728.876,0.95459,0.53425,0.96379,0.89357,0.91542,0.93097,0.62059,1.1544,0.64516,1.21567,0.000866375,0.000866375,0.000866375
64,740.294,0.93984,0.52529,0.97254,0.88094,0.85671,0.89536,0.59125,1.29659,0.72989,1.301,0.000860188,0.000860188,0.000860188
65,751.555,0.95204,0.53307,0.97594,0.91633,0.92446,0.93617,0.61902,1.2636,0.67538,1.31065,0.000854,0.000854,0.000854
66,762.772,0.92375,0.51751,0.97204,0.91421,0.87464,0.91408,0.62706,1.13812,0.69444,1.22887,0.000847813,0.000847813,0.000847813
67,774.023,0.94045,0.50584,0.97013,0.92376,0.90345,0.93032,0.64116,1.07007,0.65086,1.19503,0.000841625,0.000841625,0.000841625
68,785.408,0.94648,0.53107,1.0027,0.90028,0.8831,0.91236,0.62343,1.0867,0.63136,1.20063,0.000835438,0.000835438,0.000835438
69,796.953,0.93557,0.53266,1.00636,0.91832,0.89179,0.92211,0.60911,1.23809,0.8756,1.28092,0.00082925,0.00082925,0.00082925
70,808.384,0.9474,0.52503,0.98857,0.86539,0.93225,0.92983,0.63475,1.20199,0.6948,1.2412,0.000823063,0.000823063,0.000823063
71,819.655,0.91818,0.51474,0.98675,0.93282,0.89931,0.93559,0.64186,1.22192,1.37939,1.24161,0.000816875,0.000816875,0.000816875
72,830.941,0.94802,0.52778,0.99892,0.91337,0.86435,0.89846,0.60911,1.23739,0.73058,1.26329,0.000810688,0.000810688,0.000810688
73,842.288,0.93139,0.52589,0.97687,0.88479,0.93398,0.9494,0.62502,1.16596,0.67752,1.25933,0.0008045,0.0008045,0.0008045
74,853.693,0.93907,0.52654,0.97638,0.93162,0.9299,0.95069,0.63719,1.15189,0.61737,1.21877,0.000798313,0.000798313,0.000798313
