epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2999,1.54082,3.90171,1.14779,0.00109,0.44056,0.17229,0.0851,1.21565,5.47919,1.01725,0.000409946,0.000409946,0.000409946
2,20.6342,1.51008,2.72989,1.13069,0.71152,0.53704,0.71287,0.40268,1.49166,3.93582,1.25522,0.000821157,0.000821157,0.000821157
3,24.8207,1.54225,2.24976,1.1352,0.75913,0.7379,0.75827,0.44664,1.51369,2.69194,1.33831,0.00122687,0.00122687,0.00122687
4,29.0046,1.48516,1.97517,1.13313,0.73587,0.75881,0.8051,0.45863,1.49896,2.75696,1.33697,0.00122525,0.00122525,0.00122525
5,32.909,1.4627,1.59792,1.13358,0.74217,0.71296,0.73763,0.42969,1.427,1.59207,1.28083,0.001217,0.001217,0.001217
6,36.8913,1.41312,1.40712,1.11683,0.84006,0.76418,0.86532,0.53312,1.24241,1.17992,1.259,0.00120875,0.00120875,0.00120875
7,40.8417,1.36973,1.24993,1.09728,0.77213,0.82693,0.86196,0.50269,1.37166,1.23665,1.30124,0.0012005,0.0012005,0.0012005
8,44.962,1.37739,1.20674,1.06864,0.83385,0.84169,0.8823,0.5443,1.30767,1.07279,1.20693,0.00119225,0.00119225,0.00119225
9,49.8511,1.34826,1.0662,1.07439,0.8686,0.8285,0.88658,0.55503,1.3731,1.11425,1.30124,0.001184,0.001184,0.001184
10,54.6427,1.29828,1.04194,1.05453,0.91706,0.80495,0.90927,0.56902,1.25418,1.00397,1.15583,0.00117575,0.00117575,0.00117575
11,59.2097,1.30182,0.99243,1.06049,0.84204,0.75274,0.84625,0.50995,1.29648,1.53148,1.17828,0.0011675,0.0011675,0.0011675
12,63.7742,1.33475,0.98212,1.0648,0.85311,0.82807,0.90511,0.57197,1.28832,1.01552,1.21224,0.00115925,0.00115925,0.00115925
13,68.9304,1.27149,0.96374,1.04398,0.86551,0.77864,0.86641,0.55003,1.22841,1.09687,1.16364,0.001151,0.001151,0.001151
14,73.9363,1.25992,0.90862,1.03436,0.88218,0.84776,0.89076,0.58111,1.11041,1.02538,1.16504,0.00114275,0.00114275,0.00114275
15,78.8202,1.24224,0.87945,1.02156,0.81295,0.87843,0.88427,0.52452,1.35163,1.05133,1.23042,0.0011345,0.0011345,0.0011345
16,83.4578,1.24052,0.88088,1.03088,0.88588,0.81976,0.86455,0.53486,1.42273,1.17012,1.26245,0.00112625,0.00112625,0.00112625
17,88.427,1.2349,0.87326,1.0258,0.89273,0.83352,0.93439,0.57224,1.22187,0.95152,1.15823,0.001118,0.001118,0.001118
18,93.2291,1.23293,0.84909,1.02576,0.87473,0.91573,0.92012,0.59626,1.2389,0.91518,1.16749,0.00110975,0.00110975,0.00110975
19,98.1721,1.25501,0.81813,1.02408,0.85912,0.85072,0.85539,0.54333,1.26739,1.1723,1.17413,0.0011015,0.0011015,0.0011015
20,103.016,1.22801,0.81259,1.02735,0.9106,0.85598,0.92763,0.5812,1.25452,1.04176,1.14866,0.00109325,0.00109325,0.00109325
21,107.927,1.184,0.78118,1.01627,0.87008,0.93237,0.92612,0.62976,1.25968,0.99207,1.18983,0.001085,0.001085,0.001085
22,112.626,1.14873,0.74055,0.99929,0.90172,0.89325,0.92841,0.60862,1.17477,0.79028,1.19856,0.00107675,0.00107675,0.00107675
23,117.717,1.17571,0.75503,1.00154,0.86321,0.84058,0.88915,0.56709,1.22737,1.11472,1.16831,0.0010685,0.0010685,0.0010685
24,122.85,1.13364,0.76524,0.9926,0.90875,0.90881,0.92543,0.58435,1.28499,1.00338,1.21676,0.00106025,0.00106025,0.00106025
25,127.824,1.181,0.74612,1.00102,0.89801,0.93323,0.94273,0.61416,1.19508,0.86912,1.16236,0.001052,0.001052,0.001052
26,132.74,1.17736,0.74686,0.99879,0.93655,0.88909,0.92941,0.5973,1.23464,0.93427,1.16639,0.00104375,0.00104375,0.00104375
27,137.63,1.1327,0.73352,0.99105,0.93296,0.90293,0.93307,0.61062,1.14381,0.85149,1.13884,0.0010355,0.0010355,0.0010355
28,142.82,1.15869,0.72775,0.99245,0.85258,0.87772,0.89892,0.58197,1.22122,0.98172,1.17475,0.00102725,0.00102725,0.00102725
29,147.656,1.16642,0.73067,0.98575,0.89259,0.87538,0.9159,0.5943,1.34347,0.90439,1.17259,0.001019,0.001019,0.001019
30,151.728,1.11499,0.73973,0.99959,0.87841,0.92366,0.92476,0.6016,1.17319,0.86153,1.16427,0.00101075,0.00101075,0.00101075
