epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9731,1.5952,2.69431,1.26179,0,0,0,0,nan,nan,nan,0.000413306,0.000413306,0.000413306
2,50.671,1.90661,2.1159,1.42233,0.35813,0.45932,0.3942,0.19881,1.68646,12.7523,1.52954,0.000829922,0.000829922,0.000829922
3,70.4944,1.90106,1.97949,1.4523,0.54472,0.54619,0.51565,0.25561,1.62468,2.62915,1.40489,0.00124634,0.00124634,0.00124634
4,90.2214,1.96031,1.77242,1.45342,0.55943,0.27102,0.3451,0.15079,1.63191,69.6278,1.38155,0.00124931,0.00124931,0.00124931
5,109.781,1.89169,1.68858,1.41865,0.48744,0.54371,0.48923,0.24783,1.51071,8.02595,1.38089,0.00124878,0.00124878,0.00124878
6,129.602,1.83266,1.58013,1.37966,0.62977,0.47178,0.48722,0.28008,1.55378,2.47633,1.43078,0.00124809,0.00124809,0.00124809
7,149.948,1.84769,1.52015,1.40095,0.67838,0.68594,0.73683,0.39951,1.32462,1.73262,1.20536,0.00124725,0.00124725,0.00124725
8,169.739,1.74168,1.41612,1.34882,0.68098,0.59204,0.59098,0.32136,nan,nan,nan,0.00124626,0.00124626,0.00124626
9,188.513,1.68389,1.30831,1.3149,0.57866,0.76629,0.75352,0.43167,1.25696,1.46851,1.13435,0.00124512,0.00124512,0.00124512
10,207.865,1.59557,1.24906,1.26282,0.70833,0.79481,0.79605,0.45437,1.25109,1.18861,1.13154,0.00124383,0.00124383,0.00124383
11,226.857,1.59787,1.18823,1.24563,0.87056,0.69007,0.81497,0.48758,1.21612,2.25701,1.13415,0.00124238,0.00124238,0.00124238
12,245.841,1.54135,1.15007,1.26092,0.81045,0.77316,0.8398,0.49277,1.26082,1.16508,1.13542,0.00124079,0.00124079,0.00124079
13,264.584,1.53686,1.13325,1.21895,0.74928,0.74441,0.78995,0.4544,1.3036,1.8057,1.15909,0.00123904,0.00123904,0.00123904
14,283.035,1.48838,1.09456,1.20888,0.76265,0.75485,0.81462,0.45026,1.35526,2.50063,1.17248,0.00123714,0.00123714,0.00123714
15,301.876,1.50461,1.08268,1.21826,0.88231,0.779,0.87163,0.50312,1.1187,1.07776,1.0594,0.0012351,0.0012351,0.0012351
16,320.625,1.48084,1.05712,1.22154,0.78606,0.81103,0.87213,0.47765,1.14805,1.33796,1.07239,0.0012329,0.0012329,0.0012329
17,339.594,1.50244,1.0323,1.22955,0.82141,0.76671,0.84611,0.51538,1.12156,15.205,1.08272,0.00123056,0.00123056,0.00123056
18,358.894,1.37909,0.94119,1.18473,0.85321,0.83828,0.89354,0.54851,1.16965,0.86386,1.07211,0.00122807,0.00122807,0.00122807
19,377.918,1.41854,1.00652,1.20792,0.80781,0.83594,0.86949,0.50931,1.22755,1.41373,1.08114,0.00122543,0.00122543,0.00122543
20,396.865,1.36299,0.98119,1.17079,0.87173,0.84561,0.88516,0.55512,1.16087,1.02427,1.13837,0.00122265,0.00122265,0.00122265
21,416.291,1.33129,0.90818,1.14979,0.83642,0.86304,0.91288,0.56384,1.14949,1.00884,1.08586,0.00121972,0.00121972,0.00121972
22,435.189,1.37264,0.99443,1.19424,0.74848,0.9198,0.91875,0.58572,1.12586,0.9437,1.08337,0.00121664,0.00121664,0.00121664
