epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87763,2.5307,7.15658,1.3893,0.00483,0.17857,0.0021,0.00082,2.26539,75.3384,1.13346,0.0004,0.0004,0.0004
2,13.3432,2.31881,2.79999,1.35953,0,0,0,0,5.75481,inf,84.1436,0.000815941,0.000815941,0.000815941
3,17.6904,2.56119,2.0943,1.40642,0,0,0,0,nan,nan,nan,0.00122772,0.00122772,0.00122772
4,21.9154,2.65269,2.47691,1.60212,0,0,0,0,nan,nan,nan,0.00163535,0.00163535,0.00163535
5,26.0759,2.67893,1.99578,1.63413,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,30.2559,2.57421,1.98665,1.44084,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,34.4114,2.68925,1.97036,1.56312,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,38.6297,2.3047,1.74043,1.40385,0,0,0,0,nan,nan,nan,0.0019307,0.0019307,0.0019307
9,42.8512,2.48325,1.9881,1.48277,0.00015,0.03571,7e-05,2e-05,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,47.0662,2.49051,1.81179,1.47166,0.02168,0.03571,0.00172,0.00024,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,51.4148,2.33762,1.68218,1.44188,0.10025,0.10714,0.01627,0.00633,nan,nan,nan,0.001901,0.001901,0.001901
12,56.0422,2.31195,1.53197,1.46929,0.54458,0.35714,0.37206,0.14081,2.60669,2.15033,1.53511,0.0018911,0.0018911,0.0018911
13,60.5488,2.44751,1.73124,1.57142,0.59699,0.67857,0.62467,0.20147,2.46948,1.48577,1.53638,0.0018812,0.0018812,0.0018812
14,64.9523,2.23664,1.52395,1.33056,0.45284,0.46429,0.48557,0.14865,2.42609,1.54551,1.6441,0.0018713,0.0018713,0.0018713
15,69.2877,2.27756,1.47448,1.41177,0.51051,0.14286,0.14825,0.04755,3.07103,3.20781,2.06505,0.0018614,0.0018614,0.0018614
16,73.677,2.091,1.42962,1.36035,0.32861,0.31485,0.11973,0.02988,3.5658,5.2133,3.35129,0.0018515,0.0018515,0.0018515
17,78.0522,2.08785,1.29945,1.28312,0.63218,0.39286,0.40286,0.15659,2.58982,2.02855,2.00208,0.0018416,0.0018416,0.0018416
18,82.2273,2.16652,1.26996,1.29583,0.66487,0.60714,0.66611,0.24374,2.09618,1.42526,1.23456,0.0018317,0.0018317,0.0018317
19,86.7665,2.16161,1.46313,1.35981,0.00026,0.03571,0.00014,1e-05,5.77991,50.3152,8.31451,0.0018218,0.0018218,0.0018218
20,91.175,2.06903,1.49361,1.26552,0.65638,0.57143,0.66638,0.28568,1.90225,1.17363,1.20137,0.0018119,0.0018119,0.0018119
21,95.9966,1.97844,1.19863,1.29777,0.74245,0.41239,0.45785,0.14707,2.67122,2.13783,1.68841,0.001802,0.001802,0.001802
22,100.462,2.02965,1.26497,1.29954,0.8657,0.03571,0.03604,0.02872,3.99566,16.4653,4.08109,0.0017921,0.0017921,0.0017921
23,104.944,1.9074,1.26732,1.23869,0.85353,0.62477,0.7387,0.29507,2.02733,1.30906,1.18845,0.0017822,0.0017822,0.0017822
24,109.37,1.93306,1.26316,1.30536,0.67412,0.78571,0.78404,0.35483,1.86496,1.1901,1.16269,0.0017723,0.0017723,0.0017723
25,113.866,1.91636,1.28558,1.29459,0.93289,0.03571,0.03642,0.03225,4.46653,11.7043,5.89955,0.0017624,0.0017624,0.0017624
26,118.171,1.93684,1.26502,1.27079,0.72962,0.77129,0.73756,0.36498,1.65484,1.16082,1.08686,0.0017525,0.0017525,0.0017525
27,122.486,1.94486,1.26657,1.25696,0.6424,0.53571,0.54844,0.22872,2.18373,1.38079,1.2616,0.0017426,0.0017426,0.0017426
28,126.791,1.92178,1.20997,1.26188,0.69142,0.10714,0.11682,0.06614,2.1097,5.53092,1.47811,0.0017327,0.0017327,0.0017327
29,131.247,1.85191,1.12981,1.23317,0.91835,0.39286,0.49852,0.21061,2.22378,2.75071,1.39688,0.0017228,0.0017228,0.0017228
