epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.23902,2.45934,7.10318,1.35788,0.00135,0.46429,0.07643,0.03987,1.57947,4.88527,0.95745,0.0004,0.0004,0.0004
2,11.1598,2.16813,4.80227,1.2273,0.00177,0.60714,0.00328,0.00114,1.65965,4.93883,0.97962,0.000815941,0.000815941,0.000815941
3,13.922,2.10177,3.96876,1.20557,0.00177,0.60714,0.0026,0.00096,2.28769,5.22718,1.21694,0.00122772,0.00122772,0.00122772
4,16.6482,2.25013,4.20961,1.29956,0.42469,0.07143,0.08112,0.019,2.25305,5.27595,1.44742,0.00163535,0.00163535,0.00163535
5,19.3532,2.20105,3.44809,1.27289,0.00916,0.03571,0.00403,0.00122,2.30035,5.85097,1.23496,0.0019604,0.0019604,0.0019604
6,21.9548,2.29495,3.30905,1.27414,0.03079,0.14286,0.01635,0.00573,2.17508,5.61346,1.17422,0.0019505,0.0019505,0.0019505
7,24.6157,2.19208,3.06421,1.24547,0.06997,0.03571,0.06239,0.01593,2.3611,4.02407,1.35984,0.0019406,0.0019406,0.0019406
8,27.2709,1.98882,2.47049,1.19549,0.21804,0.5,0.20595,0.07122,2.04206,2.85167,1.2047,0.0019307,0.0019307,0.0019307
9,30.0295,2.04999,2.44704,1.21178,0.55608,0.39286,0.39146,0.16249,2.0288,3.66171,1.25813,0.0019208,0.0019208,0.0019208
10,32.7737,2.06076,2.12566,1.24287,0.89896,0.5,0.67176,0.23296,1.9559,2.11368,1.19675,0.0019109,0.0019109,0.0019109
11,35.4833,1.94105,2.09455,1.18045,0.63611,0.71429,0.73638,0.35818,1.75907,1.48159,1.18573,0.001901,0.001901,0.001901
12,38.1914,1.84869,1.66705,1.17252,0.82733,0.71429,0.79108,0.35746,1.77988,1.563,1.05922,0.0018911,0.0018911,0.0018911
13,40.9005,1.87453,1.72176,1.19317,0.76706,0.75,0.79481,0.37218,1.70246,1.54637,1.03857,0.0018812,0.0018812,0.0018812
14,43.5918,1.7897,1.5015,1.12296,0.84855,0.85714,0.89616,0.37744,1.74925,1.43326,1.09379,0.0018713,0.0018713,0.0018713
15,46.2785,1.90188,1.49614,1.18938,0.76151,0.75,0.77443,0.31063,1.8571,1.43313,1.09077,0.0018614,0.0018614,0.0018614
16,48.9288,1.75858,1.40481,1.14857,0.72628,0.66369,0.80413,0.35295,1.71519,1.36603,1.08783,0.0018515,0.0018515,0.0018515
17,51.6035,1.74925,1.29975,1.10579,0.79191,0.67963,0.7845,0.35884,1.66799,1.22165,1.02976,0.0018416,0.0018416,0.0018416
18,54.3087,1.75676,1.26348,1.10492,0.74248,0.721,0.77927,0.32862,1.79752,1.35108,1.10323,0.0018317,0.0018317,0.0018317
19,56.9363,1.75102,1.22045,1.12248,0.66948,0.64286,0.65898,0.27741,1.96498,1.35269,1.25503,0.0018218,0.0018218,0.0018218
20,59.5911,1.7483,1.28218,1.10261,0.78379,0.89286,0.84762,0.39652,1.65861,1.17105,1.09804,0.0018119,0.0018119,0.0018119
21,62.2283,1.70109,1.15519,1.1119,0.87592,0.85714,0.90744,0.47074,1.55004,0.97404,1.03882,0.001802,0.001802,0.001802
22,64.9122,1.72676,1.2019,1.09712,0.55123,0.70212,0.64413,0.32481,1.67412,1.66023,1.06233,0.0017921,0.0017921,0.0017921
23,67.6594,1.74665,1.10656,1.08633,0.58072,0.5,0.5897,0.29604,1.57275,1.79458,1.05008,0.0017822,0.0017822,0.0017822
24,70.355,1.61666,1.06033,1.11469,0.8195,0.75,0.80574,0.4024,1.66999,1.38359,1.0576,0.0017723,0.0017723,0.0017723
25,73.0183,1.66776,1.16244,1.09783,0.86745,0.78571,0.855,0.4638,1.65018,1.24739,1.01886,0.0017624,0.0017624,0.0017624
26,75.6485,1.70255,1.25112,1.14916,0.84154,0.78571,0.83184,0.4099,1.64455,1.44065,1.07285,0.0017525,0.0017525,0.0017525
27,78.316,1.68571,1.10509,1.08467,0.73257,0.78277,0.79625,0.36588,1.64474,1.26248,1.03459,0.0017426,0.0017426,0.0017426
28,80.994,1.58737,1.04665,1.08713,0.94639,0.75,0.8359,0.41118,1.55791,1.4884,0.99557,0.0017327,0.0017327,0.0017327
