epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0089,2.79062,17.6048,1.62815,0,0,0,0,nan,nan,nan,0.0004,0.0004,0.0004
2,19.0648,2.84248,5.75697,1.70186,0,0,0,0,nan,nan,nan,0.000815941,0.000815941,0.000815941
3,26.6136,3.30021,4.32425,1.9298,0,0,0,0,nan,nan,nan,0.00122772,0.00122772,0.00122772
4,34.0419,3.34698,3.25024,1.88949,0,0,0,0,nan,nan,nan,0.00163535,0.00163535,0.00163535
5,41.2755,3.41001,3.52799,1.81489,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,48.1461,3.33039,2.80225,1.7408,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,54.9227,3.19673,2.70783,1.71265,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,61.9221,3.17174,2.70953,1.77277,0,0,0,0,nan,nan,nan,0.0019307,0.0019307,0.0019307
9,68.7151,2.92806,2.14928,1.54466,0.2994,0.10714,0.07847,0.01553,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,75.4085,2.85744,2.19153,1.66812,0.22218,0.17857,0.07378,0.01647,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,82.0069,2.7837,1.9678,1.6134,0.01209,0.03571,0.00082,8e-05,5.11228,16.1542,8.3847,0.001901,0.001901,0.001901
12,88.5744,2.81501,1.93221,1.69124,0.00011,0.03571,6e-05,2e-05,4.96859,29.5458,5.96517,0.0018911,0.0018911,0.0018911
13,95.0482,2.78441,2.12662,1.57716,0,0,0,0,5.56909,38.1827,7.80432,0.0018812,0.0018812,0.0018812
14,101.581,2.78036,1.87129,1.65459,0.08312,0.14286,0.02189,0.00383,3.76086,13.7695,2.90849,0.0018713,0.0018713,0.0018713
15,108.162,2.63217,1.89572,1.50292,0.4643,0.42857,0.33859,0.07481,2.64493,2.19318,1.58392,0.0018614,0.0018614,0.0018614
16,114.945,2.64255,1.91995,1.58729,0.18671,0.10714,0.05412,0.0135,3.61024,1.88802,2.87593,0.0018515,0.0018515,0.0018515
17,121.812,2.59465,1.74232,1.51698,0.39983,0.25,0.22171,0.04843,3.73323,2.76324,2.44193,0.0018416,0.0018416,0.0018416
18,128.5,2.4544,1.70884,1.43784,0.19127,0.14286,0.06418,0.01871,3.45728,3.5973,2.48655,0.0018317,0.0018317,0.0018317
19,135.229,2.49484,1.69434,1.47824,0.48004,0.36292,0.37671,0.12926,2.83103,1.83741,1.59596,0.0018218,0.0018218,0.0018218
20,142.189,2.39994,1.57079,1.35598,0.49866,0.35714,0.35538,0.11447,2.68541,1.72809,1.5729,0.0018119,0.0018119,0.0018119
21,148.887,2.32881,1.59712,1.40793,0.39897,0.25,0.21153,0.08315,2.99295,2.13993,1.81115,0.001802,0.001802,0.001802
22,155.684,2.18035,1.52552,1.32765,0.78559,0.03571,0.03506,0.00585,4.67085,26.8798,6.95525,0.0017921,0.0017921,0.0017921
23,162.345,2.31729,1.60125,1.36578,0.67104,0.32143,0.37811,0.13587,nan,nan,nan,0.0017822,0.0017822,0.0017822
24,169.745,2.30322,1.57108,1.39648,0.00583,0.03571,0.00705,0.00212,5.125,26.9295,5.75752,0.0017723,0.0017723,0.0017723
25,176.503,2.2484,1.47533,1.36489,0.10119,0.07143,0.02391,0.00554,4.37622,3.20656,3.45146,0.0017624,0.0017624,0.0017624
26,183.288,2.18922,1.45999,1.31418,0.38352,0.32143,0.24843,0.08604,2.64479,2.35061,1.69683,0.0017525,0.0017525,0.0017525
27,190.174,2.24834,1.41351,1.36904,0.88253,0.07143,0.07536,0.03714,3.98955,7.34425,3.56211,0.0017426,0.0017426,0.0017426
28,196.907,2.07786,1.45805,1.30683,0,0,0,0,5.52788,20.9666,7.67919,0.0017327,0.0017327,0.0017327
29,203.59,2.22953,1.46169,1.32156,0.79854,0.64286,0.76029,0.34587,2.02224,1.31635,1.28009,0.0017228,0.0017228,0.0017228
30,210.476,2.20496,1.38345,1.31374,0.68413,0.75,0.69536,0.30375,2.02808,1.32542,1.21025,0.0017129,0.0017129,0.0017129
31,217.146,2.22107,1.33496,1.2863,0.45006,0.57143,0.4153,0.1588,2.49096,1.57425,1.39467,0.001703,0.001703,0.001703
