epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.763,1.60253,4.66222,1.14088,0.0007,0.31052,0.08893,0.05094,0.63695,56.7549,0.46479,0.0002375,0.0002375,0.0002375
2,21.9235,1.63011,3.58073,1.13374,0.00182,0.40278,0.13713,0.0599,0.70718,56.4589,0.47846,0.000484283,0.000484283,0.000484283
3,28.8895,1.65829,3.27506,1.16377,0.00066,0.23036,0.0456,0.02589,0.73551,55.1693,0.53161,0.000727765,0.000727765,0.000727765
4,36.0376,1.61049,2.723,1.17637,0.99885,0.04464,0.33198,0.19543,0.85129,52.8738,0.57038,0.000967947,0.000967947,0.000967947
5,43.0285,1.53405,2.57453,1.11761,0.5689,0.39735,0.42066,0.20529,0.76126,72.981,0.57123,0.00120483,0.00120483,0.00120483
6,49.9129,1.53926,2.39917,1.10728,0.47426,0.65735,0.50909,0.27438,0.77646,67.6588,0.58568,0.00120875,0.00120875,0.00120875
7,56.8843,1.48688,2.16029,1.09342,0.5277,0.708,0.7053,0.39385,0.75431,42.6724,0.5693,0.0012005,0.0012005,0.0012005
8,63.7622,1.38976,1.97365,1.07445,0.60646,0.64755,0.7112,0.42557,0.70984,39.2361,0.54452,0.00119225,0.00119225,0.00119225
9,70.7352,1.41185,1.77954,1.10483,0.66698,0.83044,0.84668,0.48758,0.70654,37.4614,0.53608,0.001184,0.001184,0.001184
10,77.6955,1.36246,1.6886,1.06828,0.72811,0.81117,0.83075,0.47372,0.71522,35.1218,0.54847,0.00117575,0.00117575,0.00117575
11,84.6964,1.41069,1.67097,1.11732,0.87453,0.81761,0.90058,0.53766,0.71837,31.479,0.53773,0.0011675,0.0011675,0.0011675
12,92.2873,1.41591,1.56846,1.06814,0.70584,0.78438,0.82543,0.48782,0.71847,25.9037,0.5394,0.00115925,0.00115925,0.00115925
13,100.547,1.34061,1.37875,1.06245,0.6902,0.88939,0.84601,0.52153,0.68592,27.9558,0.54627,0.001151,0.001151,0.001151
14,107.884,1.36889,1.46275,1.06705,0.8202,0.69836,0.76864,0.41409,0.79039,21.2131,0.56793,0.00114275,0.00114275,0.00114275
15,115.283,1.37939,1.41878,1.05289,0.70242,0.83661,0.79381,0.46663,0.72007,18.8872,0.54157,0.0011345,0.0011345,0.0011345
16,123.141,1.24998,1.25753,1.03268,0.79278,0.81408,0.89382,0.54292,0.69605,20.083,0.52581,0.00112625,0.00112625,0.00112625
17,130.326,1.25956,1.21931,1.01683,0.86376,0.86961,0.87065,0.55919,0.67108,19.4883,0.52243,0.001118,0.001118,0.001118
18,137.256,1.34393,1.23497,1.04941,0.83639,0.87773,0.88181,0.57778,0.63512,15.7711,0.5213,0.00110975,0.00110975,0.00110975
19,145.289,1.2519,1.17971,1.02858,0.82904,0.88919,0.89037,0.53987,0.69725,15.0747,0.53608,0.0011015,0.0011015,0.0011015
20,152.518,1.2654,1.15784,1.02309,0.77078,0.89272,0.87535,0.53205,0.69057,14.6979,0.54036,0.00109325,0.00109325,0.00109325
21,160.097,1.26515,1.14902,1.01573,0.86423,0.85694,0.84838,0.49566,0.71091,13.7574,0.55402,0.001085,0.001085,0.001085
22,167.421,1.21693,1.07415,1.00693,0.77776,0.88864,0.87468,0.50901,0.7421,12.2261,0.5528,0.00107675,0.00107675,0.00107675
23,174.574,1.26363,1.08165,1.01703,0.79577,0.89705,0.88484,0.5549,0.65907,12.2467,0.54179,0.0010685,0.0010685,0.0010685
24,182.112,1.20852,1.04422,1.00583,0.8562,0.84283,0.88466,0.55585,0.6584,12.0807,0.53223,0.00106025,0.00106025,0.00106025
25,189.506,1.25865,0.99726,1.01748,0.80507,0.94879,0.90419,0.51189,0.74969,11.3517,0.55105,0.001052,0.001052,0.001052
26,196.711,1.18355,0.95765,0.99614,0.85253,0.88419,0.89383,0.56391,0.68536,10.5435,0.54269,0.00104375,0.00104375,0.00104375
27,203.877,1.20277,0.91169,1.0234,0.80206,0.89083,0.86562,0.48604,0.7769,11.077,0.56621,0.0010355,0.0010355,0.0010355
28,211.074,1.24539,0.91774,1.00854,0.81699,0.88936,0.87676,0.56137,0.66516,9.56385,0.52773,0.00102725,0.00102725,0.00102725
29,218.083,1.20694,0.9363,1.01524,0.8564,0.91627,0.89325,0.54215,0.71074,9.82441,0.5366,0.001019,0.001019,0.001019
30,225.118,1.22929,0.96423,1.00889,0.8307,0.9057,0.87473,0.55289,0.68734,11.9767,0.53198,0.00101075,0.00101075,0.00101075
31,232.09,1.19503,0.90035,0.99716,0.86676,0.91873,0.91086,0.60434,0.69898,7.02837,0.53443,0.0010025,0.0010025,0.0010025
32,239.083,1.18322,0.88446,0.9977,0.83569,0.91122,0.90755,0.5499,0.70309,6.62341,0.53412,0.00099425,0.00099425,0.00099425
33,246.12,1.13254,0.86419,0.97171,0.82529,0.89361,0.85117,0.47816,0.76018,7.53889,0.56264,0.000986,0.000986,0.000986
34,253.143,1.19021,0.8459,1.00017,0.86845,0.90458,0.90852,0.57686,0.65308,5.8936,0.53076,0.00097775,0.00097775,0.00097775
35,260.142,1.17254,0.84136,0.9895,0.89389,0.90507,0.92619,0.5583,0.69125,5.95224,0.5316,0.0009695,0.0009695,0.0009695
36,267.263,1.13642,0.81608,0.97237,0.84357,0.93981,0.90239,0.56096,0.65184,6.02257,0.51872,0.00096125,0.00096125,0.00096125
37,274.491,1.16485,0.83074,0.97665,0.85124,0.95147,0.92857,0.59097,0.64384,5.39389,0.53157,0.000953,0.000953,0.000953
38,281.6,1.16432,0.81087,0.98687,0.81915,0.94832,0.89519,0.54846,0.70201,5.75954,0.54785,0.00094475,0.00094475,0.00094475
39,289.17,1.07506,0.79024,0.97021,0.86894,0.85057,0.89919,0.54266,0.69775,4.97141,0.54016,0.0009365,0.0009365,0.0009365
40,296.168,1.11442,0.75521,0.96854,0.86353,0.94217,0.91914,0.60056,0.62174,5.05486,0.52504,0.00092825,0.00092825,0.00092825
41,303.176,1.0831,0.72929,0.95734,0.91036,0.90681,0.92447,0.59161,0.64157,5.12196,0.51861,0.00092,0.00092,0.00092
42,310.15,1.06487,0.75116,0.94827,0.84789,0.9161,0.92701,0.60608,0.63872,4.92252,0.50659,0.00091175,0.00091175,0.00091175
43,317.16,1.03259,0.71777,0.95448,0.85959,0.9222,0.887,0.58837,0.66434,5.14744,0.51607,0.0009035,0.0009035,0.0009035
44,324.193,1.10913,0.75115,0.96835,0.84718,0.95858,0.88836,0.58362,0.65753,5.03426,0.52876,0.00089525,0.00089525,0.00089525
