epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4106,2.09131,2.77167,1.90066,0.22727,0.05208,0.04117,0.01192,1.66068,3915.82,1.9465,0.000660494,0.000660494,0.000660494
2,64.4739,2.28251,2.37642,2.08216,0.0211,0.22917,0.011,0.00407,1.75649,763.922,1.88559,0.00132708,0.00132708,0.00132708
3,91.9664,2.33339,2.33311,2.10602,0.09969,0.13542,0.04785,0.02197,nan,nan,nan,0.00199334,0.00199334,0.00199334
4,118.697,2.25758,2.37288,2.02951,0.12866,0.23958,0.09311,0.02742,1.73956,73.4475,1.67856,0.0019989,0.0019989,0.0019989
5,145.276,2.16194,2.11054,1.93706,0.58721,0.36458,0.4532,0.16046,1.56485,14.9157,1.48842,0.00199805,0.00199805,0.00199805
6,171.816,2.09035,2.05428,1.87412,0.51511,0.49798,0.47998,0.18871,1.41093,24.7861,1.33303,0.00199695,0.00199695,0.00199695
7,198.251,2.04635,1.91882,1.85703,0.50927,0.5297,0.47973,0.18559,1.39819,16.0515,1.34876,0.00199561,0.00199561,0.00199561
8,224.579,1.98936,1.79333,1.81234,0.60875,0.44792,0.51425,0.21485,1.37958,2.5447,1.36447,0.00199402,0.00199402,0.00199402
9,250.948,1.91997,1.799,1.74827,0.58913,0.59746,0.59078,0.28144,1.31725,4.99977,1.2913,0.00199219,0.00199219,0.00199219
10,277.377,1.9526,1.78241,1.78965,0.5309,0.53125,0.51761,0.2189,1.27716,31.8656,1.26613,0.00199012,0.00199012,0.00199012
11,303.554,1.87572,1.74734,1.70439,0.67752,0.63542,0.68277,0.32706,1.32099,1.64333,1.2711,0.00198781,0.00198781,0.00198781
12,329.761,1.93262,1.6426,1.75072,0.59098,0.5569,0.55559,0.24507,1.39951,8.56865,1.32135,0.00198526,0.00198526,0.00198526
13,355.998,1.88586,1.6757,1.73646,0.69499,0.59339,0.63497,0.27082,1.43708,7.19015,1.3841,0.00198246,0.00198246,0.00198246
14,382.308,1.83273,1.57127,1.68953,0.68636,0.61549,0.67572,0.29402,1.31629,2.99115,1.28292,0.00197943,0.00197943,0.00197943
15,408.425,1.84271,1.57077,1.69102,0.67145,0.60417,0.65124,0.32448,1.31207,3.97391,1.27694,0.00197616,0.00197616,0.00197616
16,434.766,1.81492,1.47902,1.66707,0.74205,0.58333,0.66012,0.33657,1.32557,2.31312,1.2297,0.00197265,0.00197265,0.00197265
17,461.002,1.82749,1.50504,1.65856,0.7219,0.63542,0.67585,0.31817,1.40468,1.48804,1.30515,0.0019689,0.0019689,0.0019689
18,487.372,1.82399,1.54797,1.6827,0.74783,0.6875,0.74162,0.36736,1.19852,1.49881,1.21835,0.00196491,0.00196491,0.00196491
19,513.699,1.76979,1.47278,1.62586,0.70391,0.625,0.67077,0.32316,1.35747,2.05502,1.26474,0.00196069,0.00196069,0.00196069
20,539.914,1.78855,1.46706,1.64525,0.68179,0.66667,0.69834,0.35113,1.2818,2.4341,1.22231,0.00195624,0.00195624,0.00195624
21,566.119,1.76057,1.38575,1.61662,0.75848,0.6875,0.7624,0.36643,1.22988,1.96555,1.16201,0.00195155,0.00195155,0.00195155
22,592.429,1.75462,1.37531,1.62926,0.78507,0.625,0.76405,0.34269,1.28279,2.97822,1.25409,0.00194662,0.00194662,0.00194662
23,618.667,1.77467,1.42072,1.63631,0.71438,0.66667,0.69942,0.35873,1.29498,1.7114,1.21612,0.00194147,0.00194147,0.00194147
24,644.934,1.74353,1.36653,1.61447,0.74758,0.6875,0.76859,0.38878,1.27133,1.70777,1.22158,0.00193609,0.00193609,0.00193609
25,671.507,1.75657,1.33402,1.60164,0.73707,0.64583,0.71641,0.38751,1.19627,2.79993,1.17699,0.00193048,0.00193048,0.00193048
26,697.784,1.71835,1.30726,1.59349,0.81059,0.61458,0.71984,0.40448,1.1125,1.15599,1.13289,0.00192464,0.00192464,0.00192464
27,724.256,1.72359,1.33074,1.60908,0.77511,0.64626,0.75378,0.38895,1.22125,1.26364,1.17663,0.00191858,0.00191858,0.00191858
28,750.544,1.67144,1.25445,1.55822,0.77548,0.68364,0.76659,0.39916,1.18766,1.07839,1.16587,0.00191229,0.00191229,0.00191229
29,776.784,1.68266,1.25423,1.55571,0.73021,0.69792,0.73963,0.37887,1.3192,1.18693,1.23554,0.00190578,0.00190578,0.00190578
30,803.078,1.67162,1.24776,1.5627,0.70251,0.66417,0.73367,0.38202,1.24041,1.73055,1.19302,0.00189905,0.00189905,0.00189905
31,829.34,1.7003,1.28257,1.57939,0.70491,0.69676,0.73862,0.40979,1.18523,1.20577,1.15814,0.0018921,0.0018921,0.0018921
32,855.855,1.66433,1.25392,1.55871,0.63408,0.70399,0.72513,0.37168,1.18237,5.78402,1.15765,0.00188493,0.00188493,0.00188493
33,882.036,1.65914,1.22091,1.54843,0.74661,0.73666,0.80081,0.42792,1.22603,1.44345,1.15555,0.00187754,0.00187754,0.00187754
34,908.531,1.64441,1.23072,1.53173,0.64169,0.77083,0.76151,0.3938,1.27157,1.52366,1.21966,0.00186995,0.00186995,0.00186995
35,934.757,1.62137,1.19946,1.51745,0.75578,0.77367,0.81442,0.44391,1.19031,2.2355,1.15765,0.00186213,0.00186213,0.00186213
36,961.24,1.64068,1.22111,1.53536,0.73674,0.65625,0.75827,0.40536,1.19297,2.88328,1.19331,0.00185411,0.00185411,0.00185411
37,987.863,1.58689,1.14002,1.49917,0.77295,0.65625,0.76356,0.42604,1.11822,1.4524,1.14063,0.00184588,0.00184588,0.00184588
38,1014.11,1.61427,1.17996,1.5173,0.74646,0.70538,0.74374,0.35791,1.30092,1.03019,1.23685,0.00183745,0.00183745,0.00183745
39,1040.35,1.59969,1.15275,1.52971,0.77254,0.73958,0.7925,0.3953,1.21116,1.42392,1.18261,0.00182881,0.00182881,0.00182881
40,1066.66,1.58691,1.15419,1.50811,0.70956,0.73802,0.73806,0.37747,1.2268,1.23172,1.21286,0.00181997,0.00181997,0.00181997
41,1092.9,1.58447,1.15275,1.51652,0.75957,0.80208,0.81833,0.41116,1.24089,1.00153,1.17881,0.00181093,0.00181093,0.00181093
42,1119.14,1.58146,1.12673,1.50247,0.78549,0.68661,0.76034,0.41388,1.22529,0.94668,1.18251,0.00180169,0.00180169,0.00180169
43,1145.43,1.55462,1.10805,1.47321,0.77604,0.68583,0.78377,0.39183,1.2917,1.1963,1.23649,0.00179225,0.00179225,0.00179225
