epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.031,2.0185,3.52493,1.53288,0.73209,0.31312,0.4243,0.16823,1.40213,26.4672,1.13731,0.000660494,0.000660494,0.000660494
2,37.5381,1.99317,2.44185,1.57935,0.52657,0.45833,0.44348,0.17482,1.44958,27.5914,1.24457,0.00132059,0.00132059,0.00132059
3,50.8311,2.03205,2.05785,1.61559,0.58274,0.45833,0.49248,0.20708,1.40613,6.7344,1.23032,0.00197409,0.00197409,0.00197409
4,63.9267,2.053,1.92443,1.62907,0.52466,0.48958,0.47152,0.19868,1.46119,13.5811,1.20679,0.0019703,0.0019703,0.0019703
5,77.0158,2.00078,1.88485,1.59171,0.53302,0.51127,0.53593,0.2059,1.38632,2.9038,1.15735,0.0019604,0.0019604,0.0019604
6,90.2388,1.97365,1.73647,1.59196,0.73902,0.48958,0.59262,0.21713,1.38948,11.5609,1.20161,0.0019505,0.0019505,0.0019505
7,103.485,1.88866,1.6308,1.51286,0.59139,0.5625,0.58934,0.28601,1.313,2.15433,1.10574,0.0019406,0.0019406,0.0019406
8,116.61,1.92574,1.58252,1.55336,0.7181,0.66341,0.71853,0.33358,1.23223,3.69971,1.08637,0.0019307,0.0019307,0.0019307
9,130.22,1.91269,1.56632,1.55138,0.70577,0.57471,0.65868,0.26687,1.45841,1.92221,1.21757,0.0019208,0.0019208,0.0019208
10,144.345,1.84497,1.51684,1.49291,0.5639,0.69792,0.64919,0.30252,1.35961,3.55648,1.11396,0.0019109,0.0019109,0.0019109
11,158.5,1.82618,1.44392,1.47016,0.76143,0.6875,0.75842,0.36542,1.29639,1.32099,1.07783,0.001901,0.001901,0.001901
12,172.124,1.81328,1.41818,1.48001,0.65963,0.65625,0.72142,0.32315,1.33374,1.12611,1.14795,0.0018911,0.0018911,0.0018911
