epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8678,2.30312,3.28518,2.01188,0,0,0,0,nan,nan,nan,0.000660494,0.000660494,0.000660494
2,74.0223,2.60495,2.72593,2.20178,0.00016,0.0625,0.00011,2e-05,2.87652,inf,14.9326,0.00132059,0.00132059,0.00132059
3,105.66,2.55733,2.5843,2.17898,0.00909,0.03125,0.00254,0.00065,2.63053,1945.3,2.77298,0.00197409,0.00197409,0.00197409
4,136.08,2.42041,2.32986,2.1125,0.00456,0.02083,0.00227,0.00057,1.95892,3661.35,1.88328,0.0019703,0.0019703,0.0019703
5,166.122,2.3446,2.29887,2.01854,0.35941,0.21875,0.18113,0.06264,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,195.897,2.27392,2.15997,1.97868,0.47335,0.39583,0.36501,0.12681,1.64912,14.0148,1.55198,0.0019505,0.0019505,0.0019505
7,226.473,2.19907,2.00224,1.94389,0.59166,0.39583,0.40615,0.15189,1.6058,15.2308,1.50952,0.0019406,0.0019406,0.0019406
8,257.219,2.21325,1.93421,1.92343,0.34812,0.35417,0.2819,0.09379,1.84565,23.0247,1.75925,0.0019307,0.0019307,0.0019307
9,287.247,2.15241,1.89016,1.90215,0.57284,0.5625,0.54844,0.19486,1.77466,7.25762,1.59918,0.0019208,0.0019208,0.0019208
10,317.932,2.04119,1.83637,1.82812,0.54149,0.55208,0.5753,0.26478,1.59266,14.6425,1.53937,0.0019109,0.0019109,0.0019109
11,348.817,2.09746,1.78834,1.84934,0.57073,0.52083,0.59098,0.24979,1.51167,4.18013,1.40909,0.001901,0.001901,0.001901
12,379.217,2.05084,1.73612,1.8191,0.66359,0.59589,0.64453,0.27461,1.37155,1.47836,1.34163,0.0018911,0.0018911,0.0018911
13,410.031,2.0367,1.69896,1.81778,0.58293,0.61458,0.60058,0.27074,1.40757,1.69562,1.33029,0.0018812,0.0018812,0.0018812
