category,panel,idx,file,meta_path,true,true_label,score,pred,pred_label,threshold_for_sort
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_000_bad1_0006_panel.png,51,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad1\bad1_0006.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad1\bad1_0006.json,1,anomaly,0.13408175110816956,1,anomaly,0.08835622668266296
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_001_bad2_0020_panel.png,107,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad2\bad2_0020.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad2\bad2_0020.json,1,anomaly,0.13104215264320374,1,anomaly,0.08835622668266296
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_002_bad2_0027_panel.png,114,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad2\bad2_0027.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad2\bad2_0027.json,1,anomaly,0.1285674273967743,1,anomaly,0.08835622668266296
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_003_bad2_0004_panel.png,91,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad2\bad2_0004.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad2\bad2_0004.json,1,anomaly,0.12853854894638062,1,anomaly,0.08835622668266296
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_004_bad2_0010_panel.png,97,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad2\bad2_0010.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad2\bad2_0010.json,1,anomaly,0.12488378584384918,1,anomaly,0.08835622668266296
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_005_bad2_0002_panel.png,89,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad2\bad2_0002.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad2\bad2_0002.json,1,anomaly,0.12451482564210892,1,anomaly,0.08835622668266296
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_006_bad2_0012_panel.png,99,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad2\bad2_0012.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad2\bad2_0012.json,1,anomaly,0.1239410936832428,1,anomaly,0.08835622668266296
TP,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_007_bad2_0019_panel.png,106,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\anomaly\bad2\bad2_0019.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\anomaly\bad2\bad2_0019.json,1,anomaly,0.12311571091413498,1,anomaly,0.08835622668266296
TN,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_000_good_0040_panel.png,39,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\good\good_0040.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\good\good_0040.json,0,good,0.07228830456733704,0,good,0.08835622668266296
TN,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_001_good_0018_panel.png,17,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\good\good_0018.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\good\good_0018.json,0,good,0.07532894611358643,0,good,0.08835622668266296
TN,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_002_good_0013_panel.png,12,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\good\good_0013.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\good\good_0013.json,0,good,0.07603038847446442,0,good,0.08835622668266296
TN,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_003_good_0037_panel.png,36,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\good\good_0037.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\good\good_0037.json,0,good,0.07753241062164307,0,good,0.08835622668266296
TN,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_004_good_0024_panel.png,23,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\good\good_0024.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\good\good_0024.json,0,good,0.07826691120862961,0,good,0.08835622668266296
TN,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_005_good_0012_panel.png,11,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\good\good_0012.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\good\good_0012.json,0,good,0.07848614454269409,0,good,0.08835622668266296
TN,runs\fcdd_polar_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_006_good_0017_panel.png,16,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd\test\good\good_0017.png,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\ae_fcdd_polar_cache_reflect_v1\meta\test\good\good_0017.json,0,good,0.07936916500329971,0,good,0.08835622668266296
