category,panel,idx,file,meta_path,true,true_label,score,pred,pred_label,threshold_for_sort
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_000_plastic_bad_RPi_CM3_224_png.rf.d99eb59fdb91b8bac730b98eb8af8ec2_panel.png,70,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_224_png.rf.d99eb59fdb91b8bac730b98eb8af8ec2.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_224_png.rf.d99eb59fdb91b8bac730b98eb8af8ec2.json,1,anomaly,0.06233182176947594,1,anomaly,0.03842219337821007
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_001_plastic_bad_RPi_CM3_221_png.rf.bc984b0b30fc45e1b3e9f6cdf01f6829_panel.png,69,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_221_png.rf.bc984b0b30fc45e1b3e9f6cdf01f6829.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_221_png.rf.bc984b0b30fc45e1b3e9f6cdf01f6829.json,1,anomaly,0.06090930476784706,1,anomaly,0.03842219337821007
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_002_plastic_bad_RPi_CM3_200_png.rf.11a0a1e45158484ef7ab6e0bddad561d_panel.png,67,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_200_png.rf.11a0a1e45158484ef7ab6e0bddad561d.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_200_png.rf.11a0a1e45158484ef7ab6e0bddad561d.json,1,anomaly,0.05905848741531372,1,anomaly,0.03842219337821007
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_003_plastic_bad_RPi_CM3_259_png.rf.39bc06ec41ffcff394e081596b2a479e_panel.png,75,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_259_png.rf.39bc06ec41ffcff394e081596b2a479e.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_259_png.rf.39bc06ec41ffcff394e081596b2a479e.json,1,anomaly,0.057796597480773926,1,anomaly,0.03842219337821007
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_004_plastic_bad_RPi_CM3_11_png.rf.adc4c3a0f76c6b9024b13a0e24d9a5a0_panel.png,56,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_11_png.rf.adc4c3a0f76c6b9024b13a0e24d9a5a0.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_11_png.rf.adc4c3a0f76c6b9024b13a0e24d9a5a0.json,1,anomaly,0.055632948875427246,1,anomaly,0.03842219337821007
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_005_plastic_bad_RPi_CM3_94_png.rf.95f9f1e13250bc9b2a7e103b7d73f8b1_panel.png,121,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_94_png.rf.95f9f1e13250bc9b2a7e103b7d73f8b1.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_94_png.rf.95f9f1e13250bc9b2a7e103b7d73f8b1.json,1,anomaly,0.055440351366996765,1,anomaly,0.03842219337821007
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_006_plastic_bad_RPi_CM3_313_png.rf.25a620d8358bdf8f6cb6cf3062293545_panel.png,85,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_313_png.rf.25a620d8358bdf8f6cb6cf3062293545.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_313_png.rf.25a620d8358bdf8f6cb6cf3062293545.json,1,anomaly,0.05531562119722366,1,anomaly,0.03842219337821007
TP,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_007_plastic_bad_RPi_CM3_312_png.rf.d11135ea6f910db8c8eea37b853413f6_panel.png,84,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\anomaly\plastic_bad_RPi_CM3_312_png.rf.d11135ea6f910db8c8eea37b853413f6.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\anomaly\plastic_bad_RPi_CM3_312_png.rf.d11135ea6f910db8c8eea37b853413f6.json,1,anomaly,0.054688841104507446,1,anomaly,0.03842219337821007
TN,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_000_plastic_good_RPi_CM3_294_png.rf.c654aad91bf6dda4d533eb77951dfbf7_panel.png,25,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\good\plastic_good_RPi_CM3_294_png.rf.c654aad91bf6dda4d533eb77951dfbf7.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\good\plastic_good_RPi_CM3_294_png.rf.c654aad91bf6dda4d533eb77951dfbf7.json,0,good,0.03559355065226555,0,good,0.03842219337821007
TN,runs\fcdd_tp26_plastic_reflect_v1\supervisor_report\heatmap_examples_categories\TN\good_001_plastic_good_RPi_CM3_293_png.rf.a9580511bdbd8f6171757f3f02e66bce_panel.png,24,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_fcdd_ready\test\good\plastic_good_RPi_CM3_293_png.rf.a9580511bdbd8f6171757f3f02e66bce.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_plastic_polar_cache_reflect_v1\meta\test\good\plastic_good_RPi_CM3_293_png.rf.a9580511bdbd8f6171757f3f02e66bce.json,0,good,0.035736940801143646,0,good,0.03842219337821007
