category,panel,idx,file,meta_path,true,true_label,score,pred,pred_label,threshold_for_sort
TP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_000_depth_bad_RPi_CM3_20_png.rf.6f2975da61793d004020745961328ae1_panel.png,10,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\anomaly\depth_bad_RPi_CM3_20_png.rf.6f2975da61793d004020745961328ae1.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\anomaly\depth_bad_RPi_CM3_20_png.rf.6f2975da61793d004020745961328ae1.json,1,anomaly,0.4394211769104004,1,anomaly,0.2689346969127655
TP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_001_depth_bad_RPi_CM3_18_png.rf.415c6cc7025fc6e95b2d57e01437acd8_panel.png,9,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\anomaly\depth_bad_RPi_CM3_18_png.rf.415c6cc7025fc6e95b2d57e01437acd8.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\anomaly\depth_bad_RPi_CM3_18_png.rf.415c6cc7025fc6e95b2d57e01437acd8.json,1,anomaly,0.39304786920547485,1,anomaly,0.2689346969127655
TP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_002_depth_bad_RPi_CM3_21_png.rf.d4b13c015ee80906042b6fbc71e6d4a3_panel.png,11,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\anomaly\depth_bad_RPi_CM3_21_png.rf.d4b13c015ee80906042b6fbc71e6d4a3.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\anomaly\depth_bad_RPi_CM3_21_png.rf.d4b13c015ee80906042b6fbc71e6d4a3.json,1,anomaly,0.3669985830783844,1,anomaly,0.2689346969127655
TP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_003_depth_bad_RPi_CM3_49_png.rf.285a89fd4de792ee85a2d3e8e7b866e1_panel.png,12,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\anomaly\depth_bad_RPi_CM3_49_png.rf.285a89fd4de792ee85a2d3e8e7b866e1.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\anomaly\depth_bad_RPi_CM3_49_png.rf.285a89fd4de792ee85a2d3e8e7b866e1.json,1,anomaly,0.3510083258152008,1,anomaly,0.2689346969127655
TP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_004_depth_bad_RPi_CM3_11_png.rf.ac991bc8ed54788045f8c90e189cc35a_panel.png,8,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\anomaly\depth_bad_RPi_CM3_11_png.rf.ac991bc8ed54788045f8c90e189cc35a.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\anomaly\depth_bad_RPi_CM3_11_png.rf.ac991bc8ed54788045f8c90e189cc35a.json,1,anomaly,0.3318888247013092,1,anomaly,0.2689346969127655
TP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_005_depth_bad_RPi_CM3_4_png.rf.820920cff5e80fa8f1cc8bfe02eae5cf_panel.png,13,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\anomaly\depth_bad_RPi_CM3_4_png.rf.820920cff5e80fa8f1cc8bfe02eae5cf.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\anomaly\depth_bad_RPi_CM3_4_png.rf.820920cff5e80fa8f1cc8bfe02eae5cf.json,1,anomaly,0.31692734360694885,1,anomaly,0.2689346969127655
TP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TP\anomaly_006_depth_bad_RPi_CM3_74_png.rf.9fc7b2acac502084896be74627f10973_panel.png,14,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\anomaly\depth_bad_RPi_CM3_74_png.rf.9fc7b2acac502084896be74627f10973.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\anomaly\depth_bad_RPi_CM3_74_png.rf.9fc7b2acac502084896be74627f10973.json,1,anomaly,0.28982821106910706,1,anomaly,0.2689346969127655
TN,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TN\good_000_depth_good_RPi_CM3_81_png.rf.61f659a0ee45069172001bfacbfd603d_panel.png,6,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_81_png.rf.61f659a0ee45069172001bfacbfd603d.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_81_png.rf.61f659a0ee45069172001bfacbfd603d.json,0,good,0.20885619521141052,0,good,0.2689346969127655
TN,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TN\good_001_depth_good_RPi_CM3_75_png.rf.e46aa0eb6dc0341033ddb1bfc1283e52_panel.png,4,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_75_png.rf.e46aa0eb6dc0341033ddb1bfc1283e52.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_75_png.rf.e46aa0eb6dc0341033ddb1bfc1283e52.json,0,good,0.21882043778896332,0,good,0.2689346969127655
TN,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TN\good_002_depth_good_RPi_CM3_8_png.rf.85e65a8680897c00529806e67b5108e7_panel.png,7,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_8_png.rf.85e65a8680897c00529806e67b5108e7.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_8_png.rf.85e65a8680897c00529806e67b5108e7.json,0,good,0.22086742520332336,0,good,0.2689346969127655
TN,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TN\good_003_depth_good_RPi_CM3_60_png.rf.ff5d68ca5873fbf2303467b760c56e04_panel.png,2,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_60_png.rf.ff5d68ca5873fbf2303467b760c56e04.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_60_png.rf.ff5d68ca5873fbf2303467b760c56e04.json,0,good,0.2306559830904007,0,good,0.2689346969127655
TN,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TN\good_004_depth_good_RPi_CM3_76_png.rf.20a1e36a4aa56c7c7a282ff44960d2c4_panel.png,5,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_76_png.rf.20a1e36a4aa56c7c7a282ff44960d2c4.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_76_png.rf.20a1e36a4aa56c7c7a282ff44960d2c4.json,0,good,0.2366442084312439,0,good,0.2689346969127655
TN,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TN\good_005_depth_good_RPi_CM3_37_png.rf.4ba7f7d320aca374694f1011fbd4aa72_panel.png,0,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_37_png.rf.4ba7f7d320aca374694f1011fbd4aa72.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_37_png.rf.4ba7f7d320aca374694f1011fbd4aa72.json,0,good,0.2519664466381073,0,good,0.2689346969127655
TN,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\TN\good_006_depth_good_RPi_CM3_68_png.rf.9f30e333c0a12ea75bdcabbb3b925cd5_panel.png,3,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_68_png.rf.9f30e333c0a12ea75bdcabbb3b925cd5.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_68_png.rf.9f30e333c0a12ea75bdcabbb3b925cd5.json,0,good,0.25344982743263245,0,good,0.2689346969127655
FP,runs\fcdd_tp26_depthmap_v1\supervisor_report\heatmap_examples_categories\FP\good_007_depth_good_RPi_CM3_38_png.rf.d1fb6504776177bbdd8b21c892dc83be_panel.png,1,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_fcdd_ready\test\good\depth_good_RPi_CM3_38_png.rf.d1fb6504776177bbdd8b21c892dc83be.jpg,C:\Users\Jakub\Desktop\skola new\Tímový projekt\dataset_splits\TP26_depthmap_polar_cache_v1\meta\test\good\depth_good_RPi_CM3_38_png.rf.d1fb6504776177bbdd8b21c892dc83be.json,0,good,0.27818194031715393,1,anomaly,0.2689346969127655
